id,severidad,componente,archivo_linea,descripcion,impacto,recomendacion,esfuerzo_h,sprint_sugerido,estado
FR-001,P0,Arquitectura/Servicios,addons/localization/l10n_cl_financial_reports/models/__init__.py:5-49,"El paquete models no importa los submódulos core ni services, por lo que modelos críticos como financial.report.service.registry, dashboard.export.service y account.financial.report.sii.integration.service nunca se registran.","Todos los llamados a self.env['financial.report.service.*'] y hooks fallan con KeyError, dejando sin backend a dashboards, integraciones SII y registros post-init.","Cargar explícitamente from . import core y from . import services, añadir tests de smoke que verifiquen la existencia de los modelos antes de ejecutar hooks.",6,Sprint 0,pendiente
FR-002,P0,F29 UI/Modelo,addons/localization/l10n_cl_financial_reports/views/l10n_cl_f29_views.xml:12-118,"La vista de formulario F29 usa campos (period_string, ventas_gravadas, compras_total, move_ids, folio, sii_track_id) y botones (action_send_sii/action_check_status/action_replace) que no existen en models/l10n_cl_f29.py.","La vista no puede cargar (MissingError) ni ejecutar botones, imposibilitando cualquier operación sobre el formulario F29.","Agregar los campos y métodos declarados en la vista o depurar la vista para que sólo use atributos implementados; incluir tests de view-loading.",16,Sprint 0,pendiente
FR-003,P0,F29 Cálculos,addons/localization/l10n_cl_financial_reports/models/l10n_cl_f29.py:112-157,"action_calculate usa period_date.replace (string) provocando TypeError y además nunca acumula total_ventas/total_compras, limitándose al IVA de las líneas.","El cálculo falla antes de iniciarse y aunque corriera siempre deja totales en cero, incumpliendo F29 y cualquier control tributario.","Normalizar period_date con fields.Date.to_date, calcular bases por tax tags (ventas/compras afectas/exentas) e incorporar NC/ND, multi-compañía y retenciones.",20,Sprint 0,pendiente
FR-004,P0,F29 account.report,addons/localization/l10n_cl_financial_reports/data/account_report_f29_cl_data.xml:23-194,"El XML incrusta <record> de lineas dentro de <field name="line_ids"> y usa fórmulas F29_20/F29_520 que no están definidas en tax tags.","La importación falla con ValueError y el reporte F29 no existe en Odoo, por lo que no hay evidencia de cumplimiento ante SII.","Reescribir el data file usando comandos (0,0,values) o registros separados y crear los tax tags/códigos correspondientes.",18,Sprint 0,pendiente
FR-005,P0,SII Integration,addons/localization/l10n_cl_financial_reports/models/l10n_cl_f22.py:437-478,"action_calculate F22 invoca self.env['account.financial.report.sii.integration.service'], pero el modelo nunca se carga porque services/ no se importa.","El cálculo real de F22 revienta con KeyError y no hay integración SII operativa, incumpliendo normativa anual.","Tras habilitar imports del paquete services, agregar tests que garanticen disponibilidad del modelo y cubrir send_f22/send_f29 con mocks contra el SII.",8,Sprint 0,pendiente
FR-006,P0,Automatización,addons/localization/l10n_cl_financial_reports/data/l10n_cl_tax_forms_cron.xml:5-75,"Se crean manualmente registros ir.model duplicados y se agenda un cron que llama create_monthly_f29(), método inexistente en l10n_cl.f29.","La actualización del módulo rompe (record already exists) y el cron falla en cada ejecución, dejando trazas de error recurrentes.","Eliminar la creación manual de ir.model, implementar create_monthly_f29 con políticas multicompañía o retirar el cron hasta tener lógica real.",10,Sprint 0,pendiente
FR-007,P1,HTTP/API,addons/localization/l10n_cl_financial_reports/controllers/__init__.py:2-7,"Sólo se importan main, dashboard_export_controller y universal_api; controladores declarados para analítica, ratio analysis y WebSocket no se cargan.","Endpoints documentados (REST/OWL widgets) no existen y cualquier cliente que los invoque recibe 404, rompiendo la promesa de integración máxima.","Registrar todos los controladores en __init__, cubrirlos con pruebas http -at_install y documentar los disponibles.",6,Sprint 0,pendiente
FR-008,P1,HTTP/API,addons/localization/l10n_cl_financial_reports/controllers/main.py:1-41,"FinancialReportController usa _logger sin definir y depende de un modelo financial.report.service inexistente (ver FR-001).",La ruta /financial_reports/get_report_data retorna 500 incluso antes de ejecutar negocio.,"Importar logging/_logger, usar modelos reales o eliminar la ruta hasta que exista el servicio y agregar pruebas json-controller.",5,Sprint 0,pendiente
FR-009,P1,Realtime Dashboard,addons/localization/l10n_cl_financial_reports/static/src/services/dashboard_websocket_service.js:1-120,"El frontend abre ws://.../websocket/dashboard, pero el controlador está comentado en controllers/__init__.py y además usa type='websocket', no soportado en Odoo 19.","Los widgets OWL quedan bloqueados esperando WebSocket; la actualización en tiempo real nunca ocurre y genera errores en consola.","Reemplazar por bus.longpolling (mail.bus) o eliminar la dependencia WebSocket, activando el controlador como JSON route sólo si se demuestra soporte.",20,Sprint 1,pendiente
FR-010,P1,Seguridad Multi-compañía,addons/localization/l10n_cl_financial_reports/models/financial_dashboard_widget.py:12-85,"financial.dashboard.widget carece de company_id y record rules; cualquier usuario con base.group_user accede a KPIs de otras compañías.","Datos financieros consolidados se filtran entre compañías en entornos multi-company, violando políticas Enterprise.","Agregar campo company_id, heredar company.security.mixin o record rules por compañía y ajustar ACLs/grupos.",12,Sprint 1,pendiente
