id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_hr_payslip_user,hr.payslip.user,model_hr_payslip,group_hr_payroll_user,1,1,1,0
access_hr_payslip_manager,hr.payslip.manager,model_hr_payslip,group_hr_payroll_manager,1,1,1,1
access_hr_payslip_line_user,hr.payslip.line.user,model_hr_payslip_line,group_hr_payroll_user,1,1,1,1
access_hr_payslip_line_manager,hr.payslip.line.manager,model_hr_payslip_line,group_hr_payroll_manager,1,1,1,1
access_hr_payslip_input_user,hr.payslip.input.user,model_hr_payslip_input,group_hr_payroll_user,1,1,1,1
access_hr_payslip_input_manager,hr.payslip.input.manager,model_hr_payslip_input,group_hr_payroll_manager,1,1,1,1
access_hr_salary_rule_category_user,hr.salary.rule.category.user,model_hr_salary_rule_category,group_hr_payroll_user,1,0,0,0
access_hr_salary_rule_category_manager,hr.salary.rule.category.manager,model_hr_salary_rule_category,group_hr_payroll_manager,1,1,1,1
access_hr_afp_user,hr.afp.user,model_hr_afp,group_hr_payroll_user,1,0,0,0
access_hr_afp_manager,hr.afp.manager,model_hr_afp,group_hr_payroll_manager,1,1,1,1
access_hr_isapre_user,hr.isapre.user,model_hr_isapre,group_hr_payroll_user,1,0,0,0
access_hr_isapre_manager,hr.isapre.manager,model_hr_isapre,group_hr_payroll_manager,1,1,1,1
access_hr_apv_user,hr.apv.user,model_hr_apv,group_hr_payroll_user,1,0,0,0
access_hr_apv_manager,hr.apv.manager,model_hr_apv,group_hr_payroll_manager,1,1,1,1
access_hr_economic_indicators_user,hr.economic.indicators.user,model_hr_economic_indicators,group_hr_payroll_user,1,0,0,0
access_hr_economic_indicators_manager,hr.economic.indicators.manager,model_hr_economic_indicators,group_hr_payroll_manager,1,1,1,1
