module,domain,name,license,has_qweb,has_data,application,hub_score,is_leaf,depends,category
l10n_mx_edi,localization,EDI for Mexico,EMPTY,False,True,,5,No,"account,account_cancel,base_vat,base_address_extended,document,base_address_city",Hidden
account_accountant,accounting,Accounting,EMPTY,False,True,True,2,No,"account,web_tour",Accounting
account_online_sync,accounting,account_online_sync,OEEL-1,True,True,,2,No,account,Accounting
account_asset,accounting,Assets Management,EMPTY,True,True,,1,No,account,Accounting
account_reports,accounting,Accounting Reports,OEEL-1,True,True,,1,No,account_accountant,Accounting
l10n_be_intrastat,localization,Belgian Intrastat Declaration,EMPTY,False,True,,1,No,"l10n_be,account_intrastat",Accounting
l10n_es_reports,localization,Spain - Accounting (PGCE 2008) Reports,OEEL-1,False,True,,1,No,"l10n_es,account_reports",Accounting
l10n_uk_reports,localization,UK - Accounting Reports,OEEL-1,False,True,,1,No,"l10n_uk,account_reports",Accounting
quality,quality,Quality Base,OEEL-1,False,True,False,1,No,"stock,decimal_precision",Manufacturing
voip,other,VOIP,OEEL-1,True,True,True,1,No,"base,mail,web,phone_validation",Sales
account_3way_match,accounting,Vendor Bill: Release to Pay,OEEL-1,False,True,,0,Yes,purchase,Purchase Management
account_bank_statement_import_camt,accounting,Import CAMT Bank Statement,OEEL-1,False,True,,0,Yes,account_bank_statement_import,Accounting
account_bank_statement_import_csv,accounting,Import CSV Bank Statement,OEEL-1,False,True,,0,Yes,"account_bank_statement_import,base_import",Accounting
account_bank_statement_import_ofx,accounting,Import OFX Bank Statement,OEEL-1,False,True,,0,Yes,account_bank_statement_import,Accounting
account_bank_statement_import_qif,accounting,Import QIF Bank Statement,OEEL-1,False,True,,0,Yes,account_bank_statement_import,Accounting
account_batch_payment,accounting,Batch Payment,OEEL-1,True,True,,0,Yes,account,Accounting
account_budget,accounting,Budget Management,EMPTY,False,True,,0,Yes,account,Accounting
account_deferred_revenue,accounting,Deferred Revenues,OEEL-1,False,True,False,0,Yes,account_asset,Accounting
