id,dominio,severidad,componente,archivo_linea,descripcion,impacto,causa_raiz,recomendacion,esfuerzo_h,responsable,pr,estado,evidencia,fecha_cierre,riesgo_legal_clp
# DOMINIO: DTE (Facturación Electrónica)
DTE-C001,DTE,CRITICO,Odoo Standards,addons/localization/l10n_cl_dte/models/account_move_dte.py:51-52,Duplicación _name y _inherit en account.move,Conflictos herencia Odoo; comportamiento impredecible; bloquea producción,Código legacy migrado incorrectamente,Eliminar línea 51 (_name='account.move'); mantener solo _inherit,0.08,Backend DTE,QuickWin-001,CERRADO,account_move_dte.py:57 solo _inherit sin _name duplicado,2025-11-07,0
DTE-C002,DTE,CRITICO,SOAP Client,addons/localization/l10n_cl_dte/libs/sii_soap_client.py:153-204,SOAP timeout configurado - Transport con (10s connect 30s read),Workers protegidos contra hang indefinido; retry 3x con backoff exponencial,Timeout configurado en Transport constructor; sesión cacheada,PR-1: Implementado + 8 tests unitarios; cobertura 95%,4,Backend DTE,PR-1,EN REVISION,evidencias/2025-11-07/PR-1/IMPLEMENTATION_SUMMARY.md,2025-11-07,0
DTE-H001,DTE,ALTA,ACLs,addons/localization/l10n_cl_dte/security/ir.model.access.csv,16 modelos sin ACLs definidas (ai.agent.selector ai.chat.integration dte.commercial.response.wizard etc),Acceso no controlado; violación RBAC; riesgo seguridad,Modelos custom sin entradas ACL,Agregar 16 entradas ACL para grupos account.group_account_user y account.group_account_manager,2,Backend DTE,,ABIERTO,AUDITORIA_ODOO19_STANDARDS_L10N_CL_DTE.md:63-153,,0
DTE-H002,DTE,ALTA,Rate Limiting,addons/localization/l10n_cl_dte/controllers/dte_webhook.py:26,Rate limiting en memoria (no persistente) - multi-worker pierde state,Reinicio borra contadores; falsos positivos/negativos,In-memory dict sin backend persistente,Migrar a Redis con expiry keys y rate limit distribuido,4,Backend DTE,,ABIERTO,MATRIZ_BRECHAS_L10N_CL_DTE_ENTERPRISE.csv:2,,0
DTE-H003,DTE,ALTA,Webhooks,addons/localization/l10n_cl_dte/controllers/dte_webhook.py:178-198,Falta validación timestamp/replay attack en webhooks,Replay attacks posibles; mensajes viejos aceptados,HMAC sin timestamp ni nonce en payload,Añadir timestamp + nonce; validar ventana 5 min; rechazar duplicados con Redis,6,Backend DTE,,ABIERTO,MATRIZ_BRECHAS_L10N_CL_DTE_ENTERPRISE.csv:3,,0
DTE-H004,DTE,ALTA,Webhooks,addons/localization/l10n_cl_dte/controllers/dte_webhook.py:180-182,Secret key con default inseguro,Atacante puede forjar firmas si no cambian default,Default hardcoded sin rotación,Generar key aleatoria en install; documentar rotación; env var,2,Backend DTE,,ABIERTO,MATRIZ_BRECHAS_L10N_CL_DTE_ENTERPRISE.csv:4,,0
DTE-M001,DTE,MEDIA,XSD Validation,addons/localization/l10n_cl_dte/tests/smoke/,Solo smoke test DTE 52; faltan 33/34/56/61,DTEs 33/34/56/61 pueden fallar XSD sin detectar,Solo 2 fixtures DTE 52,Crear smoke tests para 33/34/56/61 (con/sin refs; descuentos; recargos),8,QA DTE,,ABIERTO,MATRIZ_BRECHAS_L10N_CL_DTE_ENTERPRISE.csv:5,,0
DTE-M002,DTE,MEDIA,XML Signer,addons/localization/l10n_cl_dte/libs/xml_signer.py:70,Falta validación tamaño XML antes de firmar,DoS con XMLs gigantes; consumo excesivo memoria; timeout,No valida tamaño de xml_string,Implementar MAX_XML_SIZE = 10MB; validar antes de procesar,2,Backend DTE,,ABIERTO,AUDITORIA_PROFUNDA_LIBS_NATIVAS_DTE_2025-11-07.md:114-145,,0
DTE-M003,DTE,MEDIA,SII Códigos,addons/localization/l10n_cl_dte/libs/sii_soap_client.py:497-502,Solo 5 códigos SII mapeados vs 59+ oficiales,Usuarios no reciben mensajes claros en rechazos SII,Mapeo incompleto de glosas SII,Expandir dict con 59 códigos SII (ENV-3-0; DTE-3-101; TED-2-510; etc),4,Backend DTE,,ABIERTO,MATRIZ_BRECHAS_L10N_CL_DTE_ENTERPRISE.csv:7,,0
DTE-M004,DTE,MEDIA,Temp Files,addons/localization/l10n_cl_dte/libs/xml_signer.py,Archivos temporales sin eliminación garantizada,Fuga certificados en /tmp si proceso crashea; acceso no autorizado,No usa context manager para temp files,Implementar secure_temp_certificate() con context manager; permisos 0o600,6,Backend DTE,,ABIERTO,AUDITORIA_PROFUNDA_LIBS_NATIVAS_DTE_2025-11-07.md:146-203,,0
DTE-M005,DTE,MEDIA,Validación RUT,addons/localization/l10n_cl_dte/libs/dte_structure_validator.py:96-137,Implementación custom RUT duplicada (no usa python-stdnum),Riesgo bugs en edge cases (RUT 100; verificador K),Código custom en lugar de python-stdnum,Eliminar custom; centralizar en python-stdnum.cl.rut,3,Backend DTE,,ABIERTO,MATRIZ_BRECHAS_L10N_CL_DTE_ENTERPRISE.csv:9,,0
DTE-M006,DTE,MEDIA,Idempotencia,addons/localization/l10n_cl_dte/models/account_move_dte.py,Falta validación duplicados track_id,Reintentos pueden duplicar DTEs en SII,No check de track_id previo,Unique constraint track_id + validación antes de envío,3,Backend DTE,,ABIERTO,MATRIZ_BRECHAS_L10N_CL_DTE_ENTERPRISE.csv:10,,0
