module,path,name,summary,version,category,depends,auto_install,application,license,has_qweb,has_data
account_3way_match,addons/enterprise/account_3way_match,Vendor Bill: Release to Pay,,,Purchase Management,purchase,,,OEEL-1,False,True
account_accountant,addons/enterprise/account_accountant,Accounting,Manage financial and analytic accounting,1.1,Accounting,"account,web_tour",False,True,,False,True
account_asset,addons/enterprise/account_asset,Assets Management,,,Accounting,account,,,,True,True
account_bank_statement_import_camt,addons/enterprise/account_bank_statement_import_camt,Import CAMT Bank Statement,,,Accounting,account_bank_statement_import,False,,OEEL-1,False,True
account_bank_statement_import_csv,addons/enterprise/account_bank_statement_import_csv,Import CSV Bank Statement,,1.0,Accounting,"account_bank_statement_import,base_import",True,,OEEL-1,False,True
account_bank_statement_import_ofx,addons/enterprise/account_bank_statement_import_ofx,Import OFX Bank Statement,,1.0,Accounting,account_bank_statement_import,True,,OEEL-1,False,True
account_bank_statement_import_qif,addons/enterprise/account_bank_statement_import_qif,Import QIF Bank Statement,,1.0,Accounting,account_bank_statement_import,False,,OEEL-1,False,True
account_batch_payment,addons/enterprise/account_batch_payment,Batch Payment,,1.0,Accounting,account,,,OEEL-1,True,True
account_budget,addons/enterprise/account_budget,Budget Management,,,Accounting,account,,,,False,True
account_deferred_revenue,addons/enterprise/account_deferred_revenue,Deferred Revenues,,1.0,Accounting,account_asset,,False,OEEL-1,False,True
account_intrastat,addons/enterprise/account_intrastat,Intrastat Reports,,,Accounting,account_reports,,,,False,True
account_invoice_extract,addons/enterprise/account_invoice_extract,Account Invoice Extract,Extract data from invoice scans to fill them automatically,1.0,Accounting,"account_accountant,iap,mail_enterprise",True,,,False,True
account_online_sync,addons/enterprise/account_online_sync,account_online_sync,"
        This module is used for Online bank synchronization.",2.0,Accounting,account,True,,OEEL-1,True,True
account_plaid,addons/enterprise/account_plaid,account_plaid,"
        Use Plaid.com to retrieve bank statements",3.0,Accounting,account_online_sync,True,,OEEL-1,True,True
account_predictive_bills,addons/enterprise/account_predictive_bills,Predictive vendor bill data,,1.0,Accounting,account_accountant,True,,,False,True
account_reports,addons/enterprise/account_reports,Accounting Reports,View and create reports,,Accounting,account_accountant,True,,OEEL-1,True,True
account_reports_followup,addons/enterprise/account_reports_followup,Payment Follow-up Management,,1.0,Accounting,"account,mail,account_reports",False,,OEEL-1,True,True
account_sepa,addons/enterprise/account_sepa,SEPA Credit Transfer,Export payments as SEPA Credit Transfer files,1.0,Accounting,"account_batch_payment,base_iban",,,OEEL-1,False,True
account_sepa_direct_debit,addons/enterprise/account_sepa_direct_debit,SEPA Direct Debit,Collect payments from your customers through SEPA direct debit.,,Accounting,"base_iban,account_batch_payment",,,,False,True
account_taxcloud,addons/enterprise/account_taxcloud,Account TaxCloud,TaxCloud make it easy for business to comply with sales tax law,1.0,Accounting,l10n_us,True,,OEEL-1,False,True
