dependency,count
account_reports,35
mail,16
account,11
delivery,9
web,9
account_bank_statement_import,5
barcodes,5
web_dashboard,5
sale_management,5
l10n_mx_edi,5
mrp,5
account_accountant,4
web_cohort,4
base,4
portal,4
documents,4
hr_timesheet,4
hr,4
l10n_be,4
account_intrastat,4
iot,4
stock,4
website_helpdesk,4
web_tour,3
account_batch_payment,3
base_iban,3
l10n_us,3
web_grid,3
web_mobile,3
base_automation,3
project,3
sale_timesheet,3
website,3
document,3
stock_account,3
web_enterprise,3
point_of_sale,3
quality_control,3
sale,3
website_sale,3
purchase,2
iap,2
account_online_sync,2
stock_barcode,2
sign,2
event,2
rating,2
helpdesk,2
purchase_stock,2
l10n_au,2
account_check_printing,2
l10n_co,2
l10n_nl,2
mass_mailing,2
mrp_workorder,2
quality,2
pos_restaurant,2
project_forecast,2
quality_mrp_workorder,2
account_taxcloud,2
sale_coupon,2
account_deferred_revenue,2
sale_subscription,2
website_enterprise,2
website_sale_delivery,2
website_form_editor,2
base_import,1
account_asset,1
mail_enterprise,1
analytic,1
hr_contract,1
crm,1
product,1
event_barcode,1
base_setup,1
utm,1
resource,1
digest,1
helpdesk_timesheet,1
calendar,1
survey,1
hr_recruitment,1
l10n_be_hr_payroll_fleet,1
hr_holidays,1
web_gantt,1
sale_stock,1
l10n_ar,1
l10n_at,1
l10n_be_intrastat,1
l10n_bo,1
l10n_br,1
l10n_ca,1
l10n_ch,1
l10n_cl,1
l10n_de,1
l10n_do,1
l10n_es_reports,1
l10n_es,1
l10n_et,1
l10n_fr,1
l10n_gr,1
l10n_hr,1
l10n_hu,1
l10n_in,1
l10n_jp,1
l10n_lu,1
l10n_ma,1
account_cancel,1
base_vat,1
base_address_extended,1
base_address_city,1
stock_landed_costs,1
l10n_mx_edi_customs,1
l10n_mx,1
l10n_no,1
l10n_pl,1
l10n_ro,1
l10n_sg,1
l10n_si,1
l10n_th,1
l10n_uk,1
l10n_uk_reports,1
l10n_uy,1
l10n_vn,1
maintenance,1
stock_zebra,1
quality_mrp_iot,1
purchase_mrp,1
decimal_precision,1
sale_subscription_asset,1
sms,1
snailmail,1
account_reports_followup,1
marketing_automation,1
test_mail,1
timesheet_grid,1
phone_validation,1
voip,1
web_settings_dashboard,1
base_import_module,1
web_editor,1
calendar_sms,1
sales_team,1
website_crm,1
crm_enterprise,1
delivery_ups,1
website_form,1
website_forum,1
website_livechat,1
website_slides,1
website_sale_account_taxcloud,1
web_studio,1
website_twitter,1
