Item,Módulo,Regla/Tema,Referencia Legal,Implementación,Estado,Severidad,Evidencia,Acción,Responsable,Fecha Objetivo
DTE-001,l10n_cl_dte,Factura Electrónica (33),Resolución 80/2014 Art. 3,libs/xml_generator.py:154,OK,N/A,tests/fixtures/dte33_factura.xml,Ninguna,N/A,N/A
DTE-002,l10n_cl_dte,Factura Exenta (34),Resolución 80/2014 Art. 4,libs/xml_generator.py:333,OK,N/A,tests/fixtures/dte34_factura_exenta.xml,Ninguna,N/A,N/A
DTE-003,l10n_cl_dte,Guía de Despacho (52),Resolución 80/2014 Art. 7,libs/xml_generator.py:488,OK,N/A,tests/fixtures/dte52_with_transport.xml,Ninguna,N/A,N/A
DTE-004,l10n_cl_dte,Nota de Débito (56),Resolución 80/2014 Art. 6,libs/xml_generator.py:776,OK,N/A,tests/fixtures/dte56_nota_debito.xml,Ninguna,N/A,N/A
DTE-005,l10n_cl_dte,Nota de Crédito (61),Resolución 80/2014 Art. 5,libs/xml_generator.py:950,OK,N/A,tests/fixtures/dte61_nota_credito.xml,Ninguna,N/A,N/A
DTE-006,l10n_cl_dte,Boleta Electrónica (39),Circular 45/2021,xml_generator.py,Gap,P2,No encontrado método generate_dte_39(),"Implementar si target es retail/POS (2-3 semanas)",Dev Team,2025-12-15
DTE-007,l10n_cl_dte,Boleta Exenta (41),Circular 45/2021,xml_generator.py,Gap,P2,No encontrado método generate_dte_41(),"Implementar si target es retail (2-3 semanas)",Dev Team,2025-12-15
DTE-008,l10n_cl_dte,Factura Compra (46),Resolución 11/2023,xml_generator.py,Gap,P2,No implementado,"Implementar si target es agrícola/minero (1-2 semanas)",Dev Team,2025-12-30
DTE-009,l10n_cl_dte,Factura Exportación (110),Resolución 80/2014 Art. 8,xml_generator.py,Gap,P2,Mencionado en README pero no implementado,"Implementar si target es exportadores (3-4 semanas)",Dev Team,2026-01-15
DTE-010,l10n_cl_dte,NC Exportación (112),Resolución 80/2014 Art. 8,xml_generator.py,Gap,P2,No implementado,"Implementar si target es exportadores (parte del paquete 110)",Dev Team,2026-01-15
DTE-011,l10n_cl_dte,ND Exportación (111),Resolución 80/2014 Art. 8,xml_generator.py,Gap,P2,No implementado,"Implementar si target es exportadores (parte del paquete 110)",Dev Team,2026-01-15
DTE-012,l10n_cl_dte,Validación XSD,Resolución 80/2014 Art. 10,libs/xsd_validator.py:30,OK,N/A,static/xsd/DTE_v10.xsd + tests,Ninguna,N/A,N/A
DTE-013,l10n_cl_dte,Firma Digital XMLDSig,Resolución 80/2014 Art. 11,libs/xml_signer.py:73,OK,N/A,tests/test_xml_signer_unit.py,Ninguna,N/A,N/A
DTE-014,l10n_cl_dte,Timbre Electrónico (TED),Resolución 80/2014 Art. 12,libs/ted_generator.py:60,OK,N/A,tests/fixtures/ + test_caf_signature_validator.py,Ninguna,N/A,N/A
DTE-015,l10n_cl_dte,Firma TED con RSA-SHA1,Normativa SII específica TED,ted_generator.py:179,OK,N/A,Usa RSA-SHA1 (correcto según SII),Ninguna,N/A,N/A
DTE-016,l10n_cl_dte,Gestión CAF (folios),Resolución 80/2014 Art. 13,models/dte_caf.py:100,OK,N/A,Carga + validación + consumo + tests,Ninguna,N/A,N/A
DTE-017,l10n_cl_dte,Validación Firma CAF,Resolución 80/2014 Art. 13,dte_caf.py:190 + libs/caf_signature_validator.py,OK,N/A,tests/test_caf_signature_validator.py,Ninguna,N/A,N/A
DTE-018,l10n_cl_dte,Encriptación RSASK (CAF),Buena práctica seguridad,dte_caf.py:146,OK,N/A,Fernet AES-128 + tests/test_rsask_encryption.py,Ninguna,N/A,N/A
DTE-019,l10n_cl_dte,Certificado Digital (.pfx),Resolución 80/2014 Art. 14,models/dte_certificate.py:58,OK,N/A,Soporte PKCS#12 + validación vigencia + clase,Ninguna,N/A,N/A
DTE-020,l10n_cl_dte,Validación Certificado Clase 2/3,Normativa certificados SII,dte_certificate.py:450,OK,N/A,Valida OID políticas certificado,Ninguna,N/A,N/A
DTE-021,l10n_cl_dte,Envío SII (Maullin/Palena),Resolución 80/2014 Art. 15,libs/sii_soap_client.py:68-79,OK,N/A,WSDL correcto + autenticación GetToken,Ninguna,N/A,N/A
DTE-022,l10n_cl_dte,EnvioDTE (Sobre),Resolución 80/2014 Art. 16,libs/envio_dte_generator.py:220,OK,N/A,Carátula + SetDTE + SubTotales + firma,Ninguna,N/A,N/A
DTE-023,l10n_cl_dte,Consulta Estado SII,Resolución 80/2014 Art. 17,sii_soap_client.py:297,OK,N/A,Query por track_id + log comunicaciones,Ninguna,N/A,N/A
DTE-024,l10n_cl_dte,Modo Contingencia,Resolución 93/2020 (OBLIGATORIO),models/dte_contingency.py:30,OK,N/A,Activación + almacenamiento + reenvío + tests,Ninguna,N/A,N/A
DTE-025,l10n_cl_dte,Códigos Rechazo SII,Normativa SII,libs/sii_error_codes.py:70-657,OK,N/A,70+ códigos + acciones correctivas,Ninguna,N/A,N/A
DTE-026,l10n_cl_dte,Idempotencia Reintentos,Buena práctica,models/dte_failed_queue.py:20,OK,N/A,Cola + backoff exponencial + tenacity,Ninguna,N/A,N/A
DTE-027,l10n_cl_dte,Multi-compañía isolation,Odoo multi-company,security/multi_company_rules.xml:20-156,OK,N/A,15+ record rules + tests,Ninguna,N/A,N/A
DTE-028,l10n_cl_dte,ACL por rol,Odoo ACL,security/ir.model.access.csv:2-61,OK,N/A,61 reglas con group_account_user/manager,Ninguna,N/A,N/A
DTE-029,l10n_cl_dte,Protección XXE,Seguridad XML,libs/safe_xml_parser.py,OK,N/A,tests/test_xxe_protection.py,Ninguna,N/A,N/A
DTE-030,l10n_cl_dte,i18n es_CL,Odoo i18n,i18n/es_CL.po,OK,N/A,Traducción español Chile,Ninguna,N/A,N/A
